residuals1961,residuals1962,residuals1963,residuals1964,residuals1965,residuals1966,residuals1967,residuals1968,residuals1969,residuals1970,residuals1971,residuals1972,residuals1973,residuals1974,residuals1975,residuals1976,residuals1977,residuals1978,residuals1979,residuals1980,residuals1981,residuals1982,residuals1983,residuals1984,residuals1985,residuals1986,residuals1987,residuals1988,residuals1989,residuals1990,residuals1991,residuals1992,residuals1993,residuals1994,residuals1995,residuals1996,residuals1997,residuals1998,residuals1999,residuals2000,residuals2001,residuals2002,residuals2003,residuals2004,residuals2005
.14254722,.59673506,.019534117,.41846681,.26524204,.64883316,.050248582,.1858196,.039865647,.46890879,.39371178,.61749053,.37459055,.45834991,.55569798,.42359099,.30745238,.55936903,.53723127,.40214285,.10538993,.41369131,.53112096,-.084925264,.444662,-.04304149,.037702773,.55326605,.092974789,.11501366,.54358369,.057270925,.19585763,.14938869,-.026410501,.389101,.26677805,.37586737,.10322065,.11412768,.093498401,.18821074,.44745439,-.065333374,.44379145
-.21719518,-.23434965,-.30505773,-.26162547,-.33535799,-.24320066,-.33477145,-.29222479,-.31390503,-.29106215,-.29441729,-.29797837,-.28642032,-.28973585,-.19192687,-.19725573,-.19471522,-.31250399,-.28204778,-.28338701,-.33971113,-.35506728,-.20416674,-.25074944,-.32654342,-.33155099,-.2647686,-.31486154,-.265342,-.22647479,-.28162217,-.11480642,-.35702088,-.2398127,-.27195475,-.3250854,-.28575152,-.3179476,-.34684405,-.34433135,-.26414302,-.27609316,-.2865051,-.31300348,-.35071644
.17169856,.16176154,.11274118,.015076471,.086624108,.03932884,.17108119,.14507517,.074658163,.18213637,-.06470897,.14810534,.10076316,.097467929,-.053564679,.22327393,.077555083,.15180384,.19186673,.058145475,.19360448,.19389872,.15014155,.075131416,.1387192,-.056578048,.15640295,-.014208893,.086248465,.17807375,.19054648,.16939497,.15144064,.10280231,.13521884,.17732236,-.0037840114,.17399071,.1765576,-.082489803,.16188841,.144537,.072683252,.011165102,.044442806
-.0076770885,-.047634982,.058491144,.12743856,.071412228,-.022067459,-.0079584224,-.044062745,.018765492,.04679979,.11631598,-.069541641,.01361603,-.0022024838,.098974116,-.066373304,.12108555,.11802877,-.034367967,.026282463,-.089407571,-.057242919,.14553966,.065442264,.12044927,.1044756,-.047185596,.15849277,-.11490227,-.08331988,.13188617,.011324224,-.06506703,.049498837,.012959306,-.039049271,.063937746,.026337039,-.12343892,-.12092033,.095882244,.11297283,-.11314701,.1342248,.048338298
.43088415,-.015136997,.45998693,-.05019141,.083600588,.58018184,.37414315,-.039903488,.17404027,.068366989,.31997159,.11315419,.38494027,.46974519,.49638817,.025430303,.49895003,.5350315,.33102334,.46177638,.25080252,.43932423,.35317513,-.038713496,.26242796,.21685593,.2972289,.48475868,.31217837,.52213711,.086189725,.35062096,-.11364875,.3846679,.56111014,.0079897689,.45444882,.311353,.36341146,.1208028,-.061358538,.18073337,.30891207,.012893942,.56601059
-.046806023,.32565373,.3819167,.28864989,.37697354,.25379783,.069191791,.26712239,-.11140001,.16830821,-.051548239,.15139911,.033063758,.32055175,-.10088161,.22718057,-.25382823,-.20362093,.19152954,.22066689,.37024868,.36299634,.073305853,.16228843,.26184249,.11660372,.3101961,-.035170283,.37176508,.26301825,.22757545,-.20318107,.20352893,.35960183,.34660977,.36757639,-.077870458,-.064107142,-.15826,-.13002636,-.28208548,.28222218,.14186724,.22767109,.230114
.28951579,.20137437,.21601501,.027357912,.39779392,.25286865,-.023207279,.14575875,.26130602,.010805865,.46566212,-.025567846,.54904211,.68080139,.5031215,.18679589,.3155418,.43299901,.64164364,.11367594,.52024692,-.060043957,.006446925,.37655985,-.030253615,.4156366,.26521099,-.055929132,.1917464,.19386365,-.097169966,-.040747181,.55895394,.272145,.32967624,-.054275535,.17876382,.65165997,.36216661,.2806291,.59277773,.45532358,.31297985,.069289938,.42216665
-.6545772,-.64553708,-.17014219,-.28162518,-1.0015452,-.47019392,-.20557676,-.55903983,-1.023921,-1.0952046,-.59612167,-.80199742,-.49349877,-.96127242,-.64092761,-.22649531,-1.0160102,-.68015039,-.25442073,-.9722122,-.32895607,-.6513465,-1.0540684,-.46022972,-.42422909,-1.0691556,-.65842545,-.28941503,-.50934291,-.61708599,-1.0600634,-.81486338,-1.0147103,-.62382531,-.88531482,-.73993057,-.79843491,-.84955102,-.95248473,-.37735856,-.27026406,-.99619073,-.22736792,-.61317003,-.1672032
.042881895,-.068239674,.063709997,.012369779,.012931806,.12384294,.042397086,.074431464,.10719693,-.024134377,.055472795,.087099135,.064103685,-.10834396,.017508356,.08174479,-.043978781,-.06505429,.12051959,-.024457891,.035421703,.066062078,-.020152684,-.0013217881,.037796754,-.039385304,.051853899,.069135547,.033190239,.014242348,.089211322,-.097710215,-.019769628,-.011404718,-.041575905,.104711,.028811086,.0028044772,.0062932936,.084820434,.036700729,.033048283,.0096076177,.011814912,.00047642412
-.010921258,-.083093494,-.23246916,.013627847,-.052503441,-.13819921,-.13455136,.067563295,-.17926717,-.19850768,-.23082887,-.31383225,.000060078728,-.031432349,-.013652521,-.25173014,-.11530378,-.010975483,.054226611,-.19286175,-.23584294,-.27690747,-.19321017,-.075644903,-.15118538,-.16953449,-.20162311,-.25704136,-.033073124,-.12278694,-.066228658,-.099050194,-.022179011,-.29881006,-.088791378,-.022932913,-.17369862,-.24776942,.010427726,-.092594445,-.10675143,-.13613349,-.2584835,-.28165093,-.0013060975
-.45758122,-.31886438,-.46401799,-.33765453,-.1065361,-.34213105,-.27435502,-.46367761,-.43780571,-.10073085,-.14811642,-.34431121,-.41071814,-.39106536,-.45155403,-.45348358,-.40848488,-.33401334,-.22885361,-.14432426,-.37032902,-.45897913,-.071849704,-.42365733,-.43554983,-.45669684,-.28201798,-.29549018,-.35450846,-.20372234,-.39842886,-.19218089,-.18733965,-.11498856,-.33849904,-.10315385,-.26823094,-.082389936,-.26801854,-.35473517,-.18607031,-.4514198,-.40042883,-.12470146,-.26578882
