residuals_fe1961,residuals_fe1962,residuals_fe1963,residuals_fe1964,residuals_fe1965,residuals_fe1966,residuals_fe1967,residuals_fe1968,residuals_fe1969,residuals_fe1970,residuals_fe1971,residuals_fe1972,residuals_fe1973,residuals_fe1974,residuals_fe1975,residuals_fe1976,residuals_fe1977,residuals_fe1978,residuals_fe1979,residuals_fe1980,residuals_fe1981,residuals_fe1982,residuals_fe1983,residuals_fe1984,residuals_fe1985,residuals_fe1986,residuals_fe1987,residuals_fe1988,residuals_fe1989,residuals_fe1990,residuals_fe1991,residuals_fe1992,residuals_fe1993,residuals_fe1994,residuals_fe1995,residuals_fe1996,residuals_fe1997,residuals_fe1998,residuals_fe1999,residuals_fe2000,residuals_fe2001,residuals_fe2002,residuals_fe2003,residuals_fe2004,residuals_fe2005
.1864171,.26475963,-.0046511944,.24326299,-.050481495,-.11222787,-.007556593,.02101648,.031807221,.01133204,-.10814408,.046284858,-.12987794,-.025686041,-.12035789,-.045308806,-.06038582,.007875788,-.049295373,-.10974479,-.005625309,.069300488,.033829425,.29814643,-.095000528,-.0060011386,.18698454,.006923222,-.09963654,-.061366335,.1087057,-.095075682,-.10802836,-.0050200135,-.018505735,-.050494164,-.069987379,-.01325688,-.077355608,.028833907,.14430323,-.031960603,-.020066695,-.021875521,-.086808637
-.051415205,.06822677,-.28600359,.021440372,-.042543519,.063780539,-.16364563,-.012858142,-.068319976,-.015801208,.1046932,-.1744231,-.075516805,-.089005731,.09332969,.13622308,-.23664877,-.040461678,.080775261,-.27447477,.16514567,.010125061,.11251186,.02166749,.015424265,-.080768645,.24399962,-.059878469,-.016332425,-.1000546,-.050481148,-.11785024,.083120614,.10522155,.0047710775,.17301127,.013261423,.044292934,-.05571302,.11453459,.055003513,.1419481,.065120421,-.071902186,.14647044
-.16544323,.36821797,-.27260125,.12239094,-.041311163,.34720236,-.22404625,-.11634647,-.19918494,.16503982,.098758698,.33843687,.088463411,.119504,.26020676,.15616101,.016364077,.25520834,.23159268,.11321196,-.15679549,.13880126,.2573044,-.3459301,.16022138,-.34280789,-.23351501,.29160449,-.19877562,-.20513438,.30056977,-.20700893,-.1193842,-.1490242,-.298372,.097527273,-.048467502,.086388595,-.1829627,-.16097017,-.22675551,-.1177581,.14987512,-.34923103,.19877486
.044194419,.10651328,-.027813056,.011678715,-.072531134,.024548601,-.039686225,-.025010796,.016424421,-.025551064,-.019990334,-.0076519554,-.0031674006,-.059201736,.081961989,.10469434,.083576538,-.047284618,-.018306324,-.0029378524,-.032516483,-.060577281,.091396794,.057625771,-.041603997,-.061937314,.033393655,-.0071430602,.012287642,.022757214,.044743996,.19029377,-.10288268,.031154459,.025463818,-.047279079,-.031617027,-.038046334,-.063647337,-.050049148,-.015016889,-.012681945,-.014704321,-.027521068,-.026352976
.043486997,.11302331,.00038470578,-.1012205,-.040150199,-.082523055,.076565251,.022687996,.015386461,.058046278,-.17988317,.04883058,-.005585073,-.061599113,-.16927698,.13562284,-.033754323,.027422037,.066007033,-.051006529,.11119797,.098787554,.056103926,-.0060945502,.034057479,-.17656554,.064964056,-.096091576,-.025723048,.037704594,.12731148,.084894009,.015977694,-.015831692,.043036245,.065527521,-.13925067,.064290814,.070153154,-.17780876,.021413391,.018347051,-.045117132,-.09295366,-.020794876
-.049785644,-.010270192,.032237682,.097244591,.030740932,-.057816349,-.016371351,-.080346905,.045596801,.0088127097,.087244794,-.082713388,-.006629196,-.075166516,.069364808,-.067921385,.095879152,.079749987,-.074124649,.0032334689,-.085711084,-.066251077,.13760504,.07031931,.10189055,.070591107,-.052521482,.1627131,-.14077078,-.13758603,.15475419,.012926272,-.11442696,.016967852,.0068797129,-.064741097,.014574098,.0027401529,-.14374036,-.13013628,.041510232,.072885886,-.14484438,.11620905,.069203623
.13559134,-.23095647,.18054922,-.33356962,-.21025495,.29124868,.11254598,-.3293719,-.052312661,-.22280434,.037716161,-.15320182,.11151078,.14359692,.21359462,-.22930202,.22055937,.24356847,.038082402,.18554313,.0013147468,.17713183,.092056267,-.28702071,-.0093150204,-.070212819,.038708773,.23579475,.033125613,.21468669,-.14412652,.09903875,-.41619295,.098952681,.3018463,-.2708863,.15190092,.034571875,.089925766,-.14159739,-.36891478,-.11253782,.024030449,-.25830606,.33369166
-.2065334,.2453997,.23804441,.14083709,.21868341,.10043012,-.056839973,.11321939,-.20218752,.012702297,-.19823825,.020608524,-.1048003,.1299689,-.24810976,.10801366,-.39665344,-.35951856,.034154028,.079999052,.25632632,.23636936,-.052247602,.049546637,.12566493,-.034899611,.18724139,-.14856879,.22827773,.091133289,.13282463,-.31919786,.03655016,.20945202,.22291134,.22426572,-.24485293,-.20532286,-.29618028,-.25686112,-.45407632,.12451642,-.0074489657,.092036501,.13336049
.0070133479,-.001654729,-.050632328,-.24322994,.11672873,-.023274105,-.27201408,-.13091929,.047743436,-.26757509,.19619706,-.27913347,.28840297,.36744347,.23311828,-.055146072,.049941517,.15432636,.36149308,-.14976694,.28354952,-.30944601,-.24188158,.14104302,-.28920621,.14135824,.019481223,-.29210269,-.074515976,-.10079638,-.31469584,-.27953902,.26920015,-.00077985268,.083202772,-.32036123,-.1109937,.38766918,.1014713,.031019272,.29801187,.17484277,.040888596,-.1891197,.20263807
-.026755473,.061757982,.47353461,.35811111,-.37228623,.16398746,.45594057,.074606262,-.32715943,-.46326146,.04473741,-.14523892,.15618625,-.36430621,-.00060668058,.44188687,-.37128627,-.048498906,.37575284,-.32533094,.34467068,.0095755765,-.39207277,.21457757,.22714245,-.43310979,.0061689271,.38473555,.13471887,-.0014218946,-.36726511,-.14333105,-.39413998,.013573973,-.22146416,-.095692143,-.17786831,-.20321767,-.30285594,.28335577,.34529418,-.3663474,.41086495,.038744479,.52359241
-.0017439671,-.033392195,.034939222,-.020341495,-.030256797,.085576743,.031466849,.035629988,.13151093,-.064638771,.023884304,.071410075,.041341148,-.1838253,-.014618255,.077679403,-.07170248,-.10585038,.078245588,-.050024193,.036600884,.054536607,-.030604612,.0010379486,.016720731,-.075787105,.044000704,.070838563,.0048044301,-.042541102,.10956202,-.098625474,-.071646869,-.046453014,-.050172806,.076501861,-.023069866,-.023309717,-.016525459,.073087178,-.020188589,-.0095559629,-.024607064,-.0087181469,.018824441
